"Company ID","Place ID","Name","City","State","Zip","Street address","Highway","GMB","Lat","Lng","Group","Service","Tags","Owner name","Owner phone","Owner email","Owner details","Phone","Fax","Email","Website","About us","Diesel","Def","Price range","Supported languages","Payment methods","Restaurants","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Note"
"99777","107753","businesName2","dfdfsdf","Florida","12735","fdsfdsf","fffdfsf","","27.6648274","-81.5157535","Truck Stops","Love's","Parking spots:4,Showers:6,Reserved parking,TirePass,Fedex,Bulk propane,Tire service,Scale,Speedco,Light mechanical,Oil change,Food & restaurant,Driver lounge,Gym,ATM,Wi-Fi,Laundry,Fax scan,Transflo express,UPS,Pet friendly","","","","","","","","","","","","","Ukrainian,Spanish,English,Polish,Chinese,Indian","Cash,Visa,Mastercard,Apple Pay,American Express,PayPal,Come check,T-check","A&W,Arbys,Sbarro,Baskinrobbins,Burger King,Black Bear Diner,Bob Evans,Boston Market,Carl's Jr.,Charleys,Country Pride,Dairy Queen,Dunkin Donuts,Fazolis,KFC,Pizza Hut,Popeyes,Starbucks,Subway,Taco Bell,Taco Time,Wendy`s,Tim Hortons,The Kitchen,Iron Skillet,“R” Place Restaurant,Fuddruckers,Johnson's Corner,Black Bear Diner,Denny's,Cinnabon,McDonald`s,Moe`s,Huddle House,Chester's,Auntie Anne's,DeLuca`s,Big Boss Subs,Bojangles,Del Taco,Godfather's Pizza,Hardee's,Love's Pizza,Love's Subs,Love's Subs Burritos,Naf Naf Grill,Petro's Chili & Chips,Sonic,Taco John's,IHOP,Steak 'n Shake,Grandma Max's","","","","","","","",""
"99774","214482","Chevron","Baker","California","72922","Baker","","https://www.google.com/maps/place/Chevron/@35.2776889,-116.0580053,18z/data=!4m5!3m4!1s0x80c5bdefebba8cfd:0xed74fa29baee668e!8m2!3d35.2769524!4d-116.0573059","35.276952","-116.057306","Truck Stops","Local Truck Stops","Wi-Fi,Vending,Restroom,Pet friendly,Parking spots:13","","","","","","","","","","","","","","","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",""
"99772","214480","Shell","Newberry Springs","California","92365","44230 National Trails Hwy","","https://www.google.com/maps/place/Shell/@34.8287692,-116.6924775,19z/data=!4m5!3m4!1s0x80c4f6a363eaae0b:0x8cab186a5587f10c!8m2!3d34.828766!4d-116.6926966","34.828766","-116.692697","Truck Stops","Local Truck Stops","Wi-Fi,Vending,Restroom,Pet friendly,Parking spots:10","","","","","17602573334","","","http://find.shell.com","","6.5","","","","","","Open 24 hours","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",""
"99771","214479","Valero","Kingsburg","California","93631","38440 CA-99","","https://www.google.com/maps/place/Valero/@36.4893444,-119.5160053,18z/data=!4m5!3m4!1s0x8094e6cc1d6a6fdb:0x58eddd0b11911149!8m2!3d36.4893881!4d-119.5165126","36.489388","-119.516513","Truck Stops","Local Truck Stops","Wi-Fi,Vending,Restroom,Pet friendly","","","","","15598973015","","","http://ccc.valero.com","Wheelchair accessible entrance
Wheelchair accessible restroom
Public restroom
Restroom","6.4","","","","","","","","","","","","",""
"99770","214478","Shell","Coalinga","California","93210","24553 W Dorris Ave","","https://www.google.com/maps/place/Shell/@36.2534853,-120.2392871,19z/data=!4m5!3m4!1s0x809360b9ddcac0c7:0x7faaf99093c1da57!8m2!3d36.2535586!4d-120.2389265","36.253559","-120.238927","Truck Stops","Local Truck Stops","Wi-Fi,Vending,Restroom,Pet friendly,Parking spots:50","","","","","15599350717","","","http://find.shell.com","","6.9","","","","","","Open 24 hours","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",""
"99769","214477","Valero","Coalinga","California","93210","25206 W Dorris Ave","","https://www.google.com/maps/place/Valero/@36.25471,-120.2504923,19z/data=!4m5!3m4!1s0x809360cab03c1e77:0xc29bbf41d450cb8!8m2!3d36.2547777!4d-120.250318","36.254778","-120.250318","Truck Stops","Local Truck Stops","Wi-Fi,Vending,Restroom,Pet friendly,Food & restaurant","","","","","15599352442","","","http://valero.com","Wheelchair accessible entrance
Wheelchair accessible restroom
Public restroom
Restroom","6.84","","","","","Subway","Open 24 hours","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",""
"99768","214476","Valero","Chowchilla","California","93610","130 E Robertson Blvd","","https://www.google.com/maps/place/Valero/@37.126954,-120.2565835,19z/data=!4m5!3m4!1s0x8093fd25de77523b:0xba6121a2e4154e0f!8m2!3d37.126784!4d-120.2559864","37.126784","-120.255986","Truck Stops","Local Truck Stops","Wi-Fi,Vending,Restroom,Pet friendly,Parking spots:2","","","","","12103452000","","","http://ccc.valero.com","Wheelchair accessible entrance
Wheelchair accessible restroom
Public restroom
Restroom","5.98","","","","","","","","","","","","",""
"99767","214475","Chevron","Cottonwood","California","96022","19845 Main St","","https://www.google.com/maps/place/Chevron/@40.370085,-122.2831332,18z/data=!4m5!3m4!1s0x54d2c5703dca476f:0xabbcee934a114fd7!8m2!3d40.3698307!4d-122.2837486","40.369831","-122.283749","Truck Stops","Local Truck Stops","Wi-Fi,Vending,Restroom,Pet friendly,Parking spots:5","","","","","","","","http://chevron.com","","6.2","","","","","","Open 24 hours","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",""
"99766","214474","Baldwin Travel Plaza","Baldwin","Wisconsin","54002","975 Energy St","","https://www.google.com/maps/place/Baldwin+Travel+Plaza/@44.9349587,-92.3738628,17z/data=!3m1!4b1!4m5!3m4!1s0x87f806d71dbf31f3:0x489a0f8ed99ad664!8m2!3d44.934923!4d-92.373906?hl=en","44.934923","-92.373906","Truck Stops","Local Truck Stops","Wi-Fi,Vending,Restroom,Pet friendly,Parking spots:67","","","","","17156842482","","","","","5.03","","","","","","Open 24 hours","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",""
"99765","214473","Big John's of Sterling","Soldotna","Alaska","99669","41437 Sterling Hwy","","https://www.google.com/maps/place/Big+John's+of+Sterling/@60.5009854,-150.9820381,17z/data=!3m1!4b1!4m5!3m4!1s0x56c6612ce0278cc7:0x7037a2f9f732f74d!8m2!3d60.5010868!4d-150.9820848?hl=en","60.501087","-150.982085","Truck Stops","Local Truck Stops","Wi-Fi,Vending,Restroom,Pet friendly,Parking spots:25","","","","","19072625805","","","","In-store shopping
Delivery
Wheelchair accessible entrance
Wheelchair accessible parking lot
Public restroom
Quick visit
SNAP/EBT","5.05","","","","","","Open 24 hours","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",""
