ID,Name,DIESEL,DEF
78055,tapetro,4.989,4.129
78053,tapetro,5.399,4.219
76542,tapetro,4.299,3.999
76538,tapetro,4.859,3.999
76536,tapetro,5.359,4.599
76532,tapetro,5.459,4.099
76530,tapetro,5.359,4.219
76522,tapetro,5.459,4.199
76520,tapetro,4.959,4.299
76516,tapetro,4.539,4.299
76508,tapetro,4.659,3.999
76506,tapetro,4.799,4.299
76500,tapetro,4.739,4.199
76496,tapetro,5.099,4.259
76492,tapetro,5.159,4.299
76490,tapetro,6.199,4.199
76486,tapetro,4.759,4.119
76482,tapetro,5.259,4.299
76480,tapetro,5.099,4.319
76478,tapetro,4.939,4.299
76476,tapetro,5.099,4.399
76472,tapetro,4.599,4.299
76470,tapetro,5.099,4.299
76466,tapetro,4.959,4.219
76464,tapetro,4.699,4.119
76460,tapetro,5.059,4.299
76458,tapetro,5.399,4.159
76454,tapetro,5.059,4.229
76442,tapetro,4.999,4.249
76440,tapetro,4.649,4.179
76436,tapetro,5.499,4.219
76434,tapetro,5.359,4.199
76432,tapetro,5.199,4.149
76422,tapetro,4.749,4.119
76418,tapetro,4.999,4.119
76416,tapetro,4.899,4.199
76414,tapetro,4.659,4.329
76412,tapetro,4.879,3.999
76402,tapetro,4.999,4.199
76388,tapetro,4.859,4.299
76376,tapetro,5.159,4.219
76372,tapetro,5.499,4.129
76358,tapetro,5.199,3.999
76356,tapetro,4.489,4.259
76350,tapetro,4.799,4.059
76346,tapetro,5.199,4.279
76340,tapetro,5.199,4.499
76332,tapetro,5.159,4.199
76330,tapetro,5.199,4.299
76328,tapetro,5.199,4.499
76326,tapetro,4.959,4.119
76322,tapetro,4.799,4.339
76318,tapetro,5.099,4.099
76312,tapetro,5.199,4.179
76308,tapetro,5.399,4.199
76306,tapetro,6.199,4.199
76298,tapetro,5.359,4.299
76294,tapetro,5.239,3.999
76283,tapetro,4.999,4.219
76279,tapetro,4.899,4.099
76277,tapetro,6.199,4.299
76273,tapetro,5.399,4.199
76267,tapetro,5.499,4.219
76265,tapetro,4.899,4.329
76261,tapetro,5.199,4.179
76257,tapetro,5.259,4.199
76255,tapetro,4.699,4.179
76251,tapetro,4.699,4.219
76240,tapetro,5.499,4.219
76233,tapetro,5.259,4.239
76229,tapetro,5.399,4.199
76218,tapetro,4.999,4.259
76216,tapetro,5.099,4.399
76203,tapetro,6.199,4.199
76201,tapetro,5.399,4.399
76193,tapetro,6.199,4.299
76185,tapetro,4.999,4.219
76181,tapetro,4.569,4.199
76177,tapetro,4.659,4.219
76173,tapetro,6.399,4.199
76165,tapetro,5.099,4.279
